Straße;Hausnr;PLZ;Ort;Preis;Wohnfläche;Grundstücksfläche;Zimmer;Typ;Baujahr;Beschreibung;Provision;Energieausweis-Klasse;Energieverbrauch;Kontakt Name;Kontakt Telefon;Kontakt E-Mail;Exposé-Nr;Notizen;Status
Bismarckplatz;110;48281;Münster;570.000,00;46;;2;wohnung;1968;Helle 2-Zimmer-Wohnung mit Balkon in ruhiger Lage.;Provisionsfrei;A;47;Ralf Lange;+49 30 87484122;ralf.lange@immobilien-kontor.de;IS-2024-5804;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verfuegbar
Bachplatz;32;86359;Augsburg;655.000,00;40;;3,5;wohnung;2025;Zentral gelegene Stadtwohnung, fußläufig zu allen Annehmlichkeiten.;3,57% inkl. MwSt.;C;98;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-3250;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;verfuegbar
Schulring;117;48789;Münster;130.000,00;96;;5;wohnung;1993;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;5,95% inkl. MwSt.;E;131;Andreas Wolf;+49 381 82772961;andreas.wolf@immobilien-kontor.de;IS-2024-9764;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;verfuegbar
Rosenweg;21a;90459;Nürnberg;705.000,00;242;890;5;haus;1949;Repräsentatives Stadthaus in bevorzugter Wohnlage mit Garage.;3,57% inkl. MwSt.;A+;22;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-8952;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;reserviert
Schulpfad;60;53946;Bonn;1.195.000,00;161;1040;4;haus;1973;Massives Einfamilienhaus mit Keller, Terrasse und Obstgarten.;3,57% inkl. MwSt.;E;144;Martin Schmidt;+49 331 28345936;martin.schmidt@immobilien-kontor.de;IS-2024-4390;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Turmgasse;63;50895;Köln;160.000,00;;1460;;grundstueck;;Bauland in Neubaugebiet mit allen Anschlüssen, sofort bebaubar.;3,57% inkl. MwSt.;;;Maria Kaiser;+49 221 85161725;maria.kaiser@immobilien-service.de;IS-2024-7438;Energetische Sanierung geplant, Fördermittel beantragt.;verfuegbar
Alsterplatz;70c;30517;Hannover;705.000,00;283;960;4;haus;1966;Energetisch saniertes Siedlungshaus mit neuer Heizung und Dach.;5,95% inkl. MwSt.;F;185;Susanne Lehmann;+49 511 54993841;susanne.lehmann@immobilien-agentur.de;IS-2024-7350;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verfuegbar
Tannensteig;107b;50242;Köln;220.000,00;;1250;;grundstueck;;Hanggrundstück mit Fernblick, ideal für Architektenhaus.;3,57% inkl. MwSt.;;;Daniel Krüger;+49 221 83844869;daniel.krueger@immobilien-profis.de;IS-2024-4668;Teilfläche ist vermietet, Mieteinnahmen ca. 800 €/Monat.;verfuegbar
Blumenallee;69;24140;Kiel;2.545.000,00;342;1810;;gewerbe;2012;Coworking-geeignete Fläche im Loft-Stil mit Glasfaseranschluss.;3,57% inkl. MwSt.;F;167;Susanne Lehmann;+49 511 54993841;susanne.lehmann@immobilien-agentur.de;IS-2024-8288;Erstbesichtigung durchgeführt, Interessent meldet sich nächste Woche.;verfuegbar
Donauring;100;48799;Münster;380.000,00;100;250;6;haus;1990;Charmante Stadtvilla mit Jugendstil-Elementen, kernsaniert.;3,57% inkl. MwSt.;H;257;Jürgen Becker;+49 89 88623195;juergen.becker@immobilien-zentrale.de;IS-2024-2892;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;reserviert
Erlensteig;73;40299;Düsseldorf;445.000,00;95;;1;wohnung;2024;Charmante Maisonette-Wohnung über zwei Etagen mit Kamin.;Provisionsfrei;H;322;Daniel Walter;+49 211 45310193;daniel.walter@immobilien-kontor.de;IS-2024-5856;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Sternplatz;10b;30764;Hannover;315.000,00;;2250;;grundstueck;;Ebenes Grundstück in gewachsener Siedlung, ruhige Sackgassenlage.;5,95% inkl. MwSt.;;;Uwe Klein;+49 511 43436200;uwe.klein@immobilien-partner.de;IS-2024-8069;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verfuegbar
Blumendamm;50;65781;Wiesbaden;2.755.000,00;732;970;;gewerbe;2011;Moderne Praxisräume im Ärztehaus, barrierefrei und klimatisiert.;3,57% inkl. MwSt.;G;234;Stefan Hoffmann;+49 241 17932038;stefan.hoffmann@immobilien-zentrale.de;IS-2024-1786;;reserviert
Brückenstraße;59;44456;Dortmund;430.000,00;131;;2;wohnung;1986;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;Provisionsfrei;F;181;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-1478;;verfuegbar
Heidestraße;46;40297;Düsseldorf;720.000,00;89;;2,5;wohnung;1978;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;Provisionsfrei;H;304;Sophia Werner;+49 331 47343729;sophia.werner@immobilien-zentrale.de;IS-2024-3390;;verkauft
Schulplatz;73;90938;Nürnberg;155.000,00;28;;3,5;wohnung;1956;Gemütliche Dachgeschosswohnung mit Galerie und Skyline-Blick.;3,57% inkl. MwSt.;A;45;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-5038;;verfuegbar
Sternstraße;13;04657;Leipzig;235.000,00;;1750;;grundstueck;;Attraktives Grundstück in Seenähe, ideal für Ferienhausbebauung.;Provisionsfrei;;;Martin Huber;+49 341 56405343;martin.huber@immobilien-service.de;IS-2024-8371;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verfuegbar
Heidepfad;48;52532;Aachen;340.000,00;92;;1;wohnung;2008;Gemütliche Dachgeschosswohnung mit Galerie und Skyline-Blick.;Provisionsfrei;C;97;Lisa Meyer;+49 241 32279363;lisa.meyer@immobilien-zentrale.de;IS-2024-3247;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;verkauft
Bachpfad;99;90849;Nürnberg;1.485.000,00;150;810;6;haus;1905;Freistehendes Einfamilienhaus mit großem Garten und Doppelgarage.;Provisionsfrei;B;59;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-0173;WEG-Protokolle der letzten 3 Jahre angefordert.;reserviert
Birkenring;102c;18254;Rostock;840.000,00;112;830;5,5;haus;2016;Freistehendes Einfamilienhaus mit großem Garten und Doppelgarage.;Provisionsfrei;A+;26;Ralf Lange;+49 30 87484122;ralf.lange@immobilien-kontor.de;IS-2024-5466;Grundbuch ist lastenfrei, keine Altlasten bekannt.;verfuegbar
Feldgasse;68;04343;Leipzig;420.000,00;35;;3,5;wohnung;2010;Gepflegte Eigentumswohnung mit moderner Einbauküche und Stellplatz.;3,57% inkl. MwSt.;E;134;Martin Huber;+49 341 56405343;martin.huber@immobilien-service.de;IS-2024-7686;;verkauft
Eichenplatz;20;44554;Dortmund;320.000,00;66;;5;wohnung;2010;Loftartige Wohnung in saniertem Fabrikgebäude, Backsteinoptik.;Auf Anfrage;E;130;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-6546;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;verkauft
Elbestraße;83;70269;Stuttgart;335.000,00;127;;3;wohnung;2017;Ruhig gelegene Wohnung im Grünen mit Tiefgaragenstellplatz.;Provisionsfrei;F;184;Jürgen Becker;+49 89 88623195;juergen.becker@immobilien-zentrale.de;IS-2024-3926;Teilfläche ist vermietet, Mieteinnahmen ca. 800 €/Monat.;verfuegbar
Schillerpfad;63;50463;Köln;270.000,00;153;;4,5;wohnung;2014;Charmante Maisonette-Wohnung über zwei Etagen mit Kamin.;Provisionsfrei;D;128;Michael Richter;+49 40 93434066;michael.richter@immobilien-kontor.de;IS-2024-9257;Eigentümer ist umzugsbedingt verhandlungsbereit.;verfuegbar
Donauallee;10;45385;Essen;220.000,00;151;;3,5;wohnung;2017;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;Provisionsfrei;A;47;Sabine Meyer;+49 201 97445827;sabine.meyer@immobilien-agentur.de;IS-2024-3937;;verfuegbar
Goethestraße;3;89207;Ulm;1.040.000,00;224;730;7,5;haus;1955;Reihenendhaus mit seitlichem Gartenanteil und Sonnenterrasse.;3,57% inkl. MwSt.;G;235;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-5813;WEG-Protokolle der letzten 3 Jahre angefordert.;verfuegbar
Ahornallee;31;01187;Dresden;745.000,00;139;;1;wohnung;1963;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;4,76% inkl. MwSt.;C;76;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-3518;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;reserviert
Sonnensteig;115;10633;Berlin;460.000,00;;630;;grundstueck;;Voll erschlossenes Baugrundstück in ruhiger Wohnlage.;4,76% inkl. MwSt.;;;Michael Köhler;+49 201 30833235;michael.koehler@immobilien-partner.de;IS-2024-4029;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verfuegbar
Hauptsteig;95;60849;Frankfurt;310.000,00;259;650;6;haus;2003;Charmante Stadtvilla mit Jugendstil-Elementen, kernsaniert.;Auf Anfrage;F;169;Sabine Bauer;+49 69 40724868;sabine.bauer@immobilien-zentrale.de;IS-2024-0573;Garagenstellplatz separat zu erwerben (15.000 €).;verkauft
Rathausstraße;44c;93851;Regensburg;400.000,00;254;780;5,5;haus;1954;Zweifamilienhaus mit separaten Eingängen, ideal zur Kapitalanlage.;2,38% inkl. MwSt.;H;313;Michael Schäfer;+49 30 85254147;michael.schaefer@immobilien-kontor.de;IS-2024-4620;;verfuegbar
Parkgasse;41;86344;Augsburg;150.000,00;130;;5;wohnung;2009;Sonnige Etagenwohnung in familienfreundlicher Wohngegend.;Auf Anfrage;C;78;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-0301;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;verfuegbar
Blumendamm;7;30879;Hannover;430.000,00;55;;3;wohnung;2006;Zentral gelegene Stadtwohnung, fußläufig zu allen Annehmlichkeiten.;5,95% inkl. MwSt.;A+;27;Anna Wagner;+49 511 45248045;anna.wagner@immobilien-agentur.de;IS-2024-4364;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;verkauft
Elbering;57;76465;Karlsruhe;615.000,00;134;930;4;haus;1914;Energetisch saniertes Siedlungshaus mit neuer Heizung und Dach.;4,76% inkl. MwSt.;C;98;Susanne Lehmann;+49 511 54993841;susanne.lehmann@immobilien-agentur.de;IS-2024-7262;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verfuegbar
Bahnhofplatz;71;20625;Hamburg;905.000,00;254;1150;5;haus;2007;Reihenendhaus mit seitlichem Gartenanteil und Sonnenterrasse.;Provisionsfrei;H;285;Michael Richter;+49 40 93434066;michael.richter@immobilien-kontor.de;IS-2024-9204;;verkauft
Schulgasse;34;28523;Bremen;995.000,00;135;980;5,5;haus;1998;Freistehendes Einfamilienhaus mit großem Garten und Doppelgarage.;4,76% inkl. MwSt.;C;95;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-7672;Grundbuch ist lastenfrei, keine Altlasten bekannt.;verfuegbar
Bachsteig;89b;86159;Augsburg;1.225.000,00;735;1750;;gewerbe;1981;Gastronomie-Fläche mit voll ausgestatteter Küche und Außenbestuhlung.;2,38% inkl. MwSt.;D;100;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-4621;Eigentümer ist umzugsbedingt verhandlungsbereit.;verfuegbar
Sternallee;3b;24572;Kiel;670.000,00;87;;2,5;wohnung;1991;Frisch renovierte Wohnung mit Parkettböden und Fußbodenheizung.;Provisionsfrei;F;160;Maria Kaiser;+49 221 85161725;maria.kaiser@immobilien-service.de;IS-2024-2815;;verfuegbar
Händelallee;102;55605;Mainz;495.000,00;146;;1;wohnung;1968;Helle 1-Zimmer-Wohnung mit Balkon in ruhiger Lage.;3,57% inkl. MwSt.;F;178;Sophia Fischer;+49 451 12112027;sophia.fischer@immobilien-profis.de;IS-2024-6560;;verfuegbar
Spreesteig;34;60775;Frankfurt;555.000,00;137;;4;wohnung;2000;Gepflegte Eigentumswohnung mit moderner Einbauküche und Stellplatz.;5,95% inkl. MwSt.;D;124;Sabine Bauer;+49 69 40724868;sabine.bauer@immobilien-zentrale.de;IS-2024-0894;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verkauft
Goetheallee;73;23545;Lübeck;1.250.000,00;146;440;5;haus;1900;Bungalow auf einer Ebene, ideal für barrierefreies Wohnen.;4,76% inkl. MwSt.;C;91;Thomas Meyer;+49 451 47180591;thomas.meyer@immobilien-profis.de;IS-2024-6661;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Neckardamm;87b;86535;Augsburg;910.000,00;658;810;;gewerbe;1984;Atelier- und Showroom-Fläche in sanierter Industriehalle.;Provisionsfrei;F;186;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-7576;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verkauft
Buchenstraße;107;48371;Münster;185.000,00;;1710;;grundstueck;;Großes Grundstück am Ortsrand mit freiem Blick ins Grüne.;2,38% inkl. MwSt.;;;Susanne Becker;+49 451 90242403;susanne.becker@immobilien-partner.de;IS-2024-3502;;verfuegbar
Ulmenpfad;1;68488;Mannheim;630.000,00;150;510;8;haus;1929;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;Provisionsfrei;C;85;Katharina Schmid;+49 201 76438174;katharina.schmid@immobilien-kontor.de;IS-2024-6126;;verfuegbar
Blumenring;45c;79368;Freiburg;1.945.000,00;269;1030;;gewerbe;2001;Atelier- und Showroom-Fläche in sanierter Industriehalle.;Auf Anfrage;H;328;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-7480;;verfuegbar
Sternplatz;58;24537;Kiel;765.000,00;292;600;5;haus;1977;Renoviertes Fachwerkhaus mit modernem Anbau und historischem Charme.;5,95% inkl. MwSt.;A;38;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-1551;Eigentümer ist umzugsbedingt verhandlungsbereit.;reserviert
Tannenallee;23;40498;Düsseldorf;1.210.000,00;194;890;6,5;haus;1971;Energetisch saniertes Siedlungshaus mit neuer Heizung und Dach.;4,76% inkl. MwSt.;F;183;Daniel Walter;+49 211 45310193;daniel.walter@immobilien-kontor.de;IS-2024-8977;Verkäufer möchte vor Verkauf noch die Küche erneuern.;verfuegbar
Isarring;67c;68148;Mannheim;615.000,00;93;;4,5;wohnung;1995;Ruhig gelegene Wohnung im Grünen mit Tiefgaragenstellplatz.;4,76% inkl. MwSt.;H;285;Heike Bauer;+49 611 77266532;heike.bauer@immobilien-agentur.de;IS-2024-8231;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Goethepfad;61;40343;Düsseldorf;1.660.000,00;543;560;;gewerbe;2019;Coworking-geeignete Fläche im Loft-Stil mit Glasfaseranschluss.;3,57% inkl. MwSt.;B;64;Daniel Walter;+49 211 45310193;daniel.walter@immobilien-kontor.de;IS-2024-2016;WEG-Protokolle der letzten 3 Jahre angefordert.;verkauft
Heidedamm;30;52418;Aachen;760.000,00;;590;;grundstueck;;Sonniges Eckgrundstück mit Südausrichtung, bebaubar nach §34 BauGB.;4,76% inkl. MwSt.;;;Petra Krause;+49 89 53885162;petra.krause@immobilien-service.de;IS-2024-0859;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Flusspfad;118;80925;München;715.000,00;127;;5;wohnung;1986;Sonnige Etagenwohnung in familienfreundlicher Wohngegend.;3,57% inkl. MwSt.;E;158;Andreas Wolf;+49 381 82772961;andreas.wolf@immobilien-kontor.de;IS-2024-6321;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Schulsteig;104;40958;Düsseldorf;145.000,00;91;;1,5;wohnung;2021;Moderne Neubauwohnung mit offener Küche und bodentiefen Fenstern.;5,95% inkl. MwSt.;G;222;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-1726;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Bismarckring;102;20522;Hamburg;170.000,00;121;;1;wohnung;2011;Helle 1-Zimmer-Wohnung mit Balkon in ruhiger Lage.;5,95% inkl. MwSt.;H;328;Michael Richter;+49 40 93434066;michael.richter@immobilien-kontor.de;IS-2024-8738;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;verfuegbar
Kaisersteig;87;86740;Augsburg;2.230.000,00;223;1960;;gewerbe;2015;Produktionshalle mit Bürotrakt, Laderampe und ausreichend Parkplätzen.;5,95% inkl. MwSt.;G;229;Hannah Huber;+49 221 57177965;hannah.huber@immobilien-partner.de;IS-2024-3873;Grundbuch ist lastenfrei, keine Altlasten bekannt.;verfuegbar
Mondallee;8;50417;Köln;1.030.000,00;98;390;6,5;haus;1972;Repräsentatives Stadthaus in bevorzugter Wohnlage mit Garage.;Provisionsfrei;A+;11;Daniel Krüger;+49 221 83844869;daniel.krueger@immobilien-profis.de;IS-2024-8246;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Teichring;66;28270;Bremen;130.000,00;123;;4;wohnung;1958;Moderne Neubauwohnung mit offener Küche und bodentiefen Fenstern.;Provisionsfrei;D;125;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-4253;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;verfuegbar
Maingasse;8;24101;Kiel;1.375.000,00;189;860;4;haus;1973;Energetisch saniertes Siedlungshaus mit neuer Heizung und Dach.;4,76% inkl. MwSt.;F;200;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-0512;Grundbuch ist lastenfrei, keine Altlasten bekannt.;verfuegbar
Schlossallee;47;55133;Mainz;180.000,00;110;;4,5;wohnung;1965;Barrierefreie Erdgeschosswohnung mit Terrasse und eigenem Garten.;4,76% inkl. MwSt.;E;130;Andreas Wolf;+49 381 82772961;andreas.wolf@immobilien-kontor.de;IS-2024-9824;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verkauft
Waldallee;8;65280;Wiesbaden;1.010.000,00;274;1180;6;haus;2001;Charmante Stadtvilla mit Jugendstil-Elementen, kernsaniert.;Auf Anfrage;B;63;Heike Bauer;+49 611 77266532;heike.bauer@immobilien-agentur.de;IS-2024-7938;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verfuegbar
Gartenplatz;26c;53463;Bonn;380.000,00;180;400;8;haus;2010;Charmante Stadtvilla mit Jugendstil-Elementen, kernsaniert.;5,95% inkl. MwSt.;F;180;Michael Köhler;+49 201 30833235;michael.koehler@immobilien-partner.de;IS-2024-9825;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;reserviert
Mozartweg;72c;90288;Nürnberg;685.000,00;;350;;grundstueck;;Waldrandgrundstück mit altem Baumbestand und Bachlauf.;4,76% inkl. MwSt.;;;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-3037;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Parksteig;67;30451;Hannover;575.000,00;721;1030;;gewerbe;1982;Ladenfläche in frequentierter Einkaufsstraße mit großer Schaufensterfront.;3,57% inkl. MwSt.;G;232;Uwe Klein;+49 511 43436200;uwe.klein@immobilien-partner.de;IS-2024-4254;Grundbuch ist lastenfrei, keine Altlasten bekannt.;verfuegbar
Burggasse;52;89134;Ulm;530.000,00;;1730;;grundstueck;;Attraktives Grundstück in Seenähe, ideal für Ferienhausbebauung.;3,57% inkl. MwSt.;;;Maria Kaiser;+49 221 85161725;maria.kaiser@immobilien-service.de;IS-2024-3931;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verfuegbar
Gartengasse;91c;48882;Münster;2.445.000,00;194;1430;;gewerbe;1991;Gastronomie-Fläche mit voll ausgestatteter Küche und Außenbestuhlung.;Provisionsfrei;E;134;Andreas Maier;+49 89 20970853;andreas.maier@immobilien-service.de;IS-2024-7850;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verkauft
Buchenstraße;97;50661;Köln;650.000,00;290;760;8;haus;1905;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;Provisionsfrei;A;35;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-2378;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;verfuegbar
Schulpfad;80;44478;Dortmund;95.000,00;;1760;;grundstueck;;Grundstück mit Altbestand (Abriss geplant), zentrale Lage.;Provisionsfrei;;;Monika Hartmann;+49 611 44019337;monika.hartmann@immobilien-agentur.de;IS-2024-1716;;verfuegbar
Kaiserallee;37;14272;Potsdam;165.000,00;128;;5;wohnung;2018;Penthouse mit umlaufender Dachterrasse und Panoramablick.;5,95% inkl. MwSt.;F;163;Alexander Schmidt;+49 711 15977656;alexander.schmidt@immobilien-zentrale.de;IS-2024-1071;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verfuegbar
Bismarckring;57;80237;München;325.000,00;;2170;;grundstueck;;Ebenes Grundstück in gewachsener Siedlung, ruhige Sackgassenlage.;2,38% inkl. MwSt.;;;Andreas Maier;+49 89 20970853;andreas.maier@immobilien-service.de;IS-2024-4343;Eigentümer ist umzugsbedingt verhandlungsbereit.;verkauft
Gartenpfad;67;40274;Düsseldorf;335.000,00;;1980;;grundstueck;;Sonniges Eckgrundstück mit Südausrichtung, bebaubar nach §34 BauGB.;Auf Anfrage;;;Daniel Walter;+49 211 45310193;daniel.walter@immobilien-kontor.de;IS-2024-5556;Grundbuch ist lastenfrei, keine Altlasten bekannt.;verfuegbar
Elbepfad;98;50550;Köln;560.000,00;91;760;5;haus;1911;Doppelhaushälfte mit Carport und pflegeleichtem Vorgarten.;2,38% inkl. MwSt.;A;36;Ralf Zimmermann;+49 89 33877582;ralf.zimmermann@immobilien-service.de;IS-2024-1106;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Turmsteig;59;55426;Mainz;205.000,00;76;;2,5;wohnung;1964;Moderne Neubauwohnung mit offener Küche und bodentiefen Fenstern.;3,57% inkl. MwSt.;E;141;Martin Walter;+49 30 78329059;martin.walter@immobilien-service.de;IS-2024-7196;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;verfuegbar
Ringallee;67;50374;Köln;130.000,00;;2360;;grundstueck;;Voll erschlossenes Baugrundstück in ruhiger Wohnlage.;Auf Anfrage;;;Hannah Huber;+49 221 57177965;hannah.huber@immobilien-partner.de;IS-2024-0868;Eigentümer ist umzugsbedingt verhandlungsbereit.;verfuegbar
Isarring;62;69635;Heidelberg;335.000,00;29;;3;wohnung;1983;Großzügige Familienwohnung mit separatem Gäste-WC und Abstellraum.;4,76% inkl. MwSt.;H;292;Michael Schäfer;+49 30 85254147;michael.schaefer@immobilien-kontor.de;IS-2024-3153;Garagenstellplatz separat zu erwerben (15.000 €).;verfuegbar
Kaiserdamm;82c;93534;Regensburg;350.000,00;216;240;4;haus;2019;Bungalow auf einer Ebene, ideal für barrierefreies Wohnen.;Provisionsfrei;G;220;Susanne Lehmann;+49 511 54993841;susanne.lehmann@immobilien-agentur.de;IS-2024-2563;Verkäufer möchte vor Verkauf noch die Küche erneuern.;verkauft
Marktallee;85;40824;Düsseldorf;305.000,00;45;;3,5;wohnung;2004;Loftartige Wohnung in saniertem Fabrikgebäude, Backsteinoptik.;Provisionsfrei;E;151;Daniel Walter;+49 211 45310193;daniel.walter@immobilien-kontor.de;IS-2024-8818;;verfuegbar
Spreeallee;63;55672;Mainz;270.000,00;;910;;grundstueck;;Voll erschlossenes Baugrundstück in ruhiger Wohnlage.;5,95% inkl. MwSt.;;;Sabine Bauer;+49 69 40724868;sabine.bauer@immobilien-zentrale.de;IS-2024-5967;Objekt steht seit 3 Monaten leer, sofort beziehbar.;reserviert
Ulmenweg;43;44100;Dortmund;430.000,00;82;;1;wohnung;2006;Loftartige Wohnung in saniertem Fabrikgebäude, Backsteinoptik.;2,38% inkl. MwSt.;F;177;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-2765;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;reserviert
Teichpfad;72;52533;Aachen;330.000,00;98;1060;8;haus;1984;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;Provisionsfrei;G;249;Stefan Hoffmann;+49 241 17932038;stefan.hoffmann@immobilien-zentrale.de;IS-2024-2473;Verkäufer möchte vor Verkauf noch die Küche erneuern.;verfuegbar
Burgplatz;19;28430;Bremen;245.000,00;62;;3;wohnung;1992;Gepflegte Eigentumswohnung mit moderner Einbauküche und Stellplatz.;Provisionsfrei;C;98;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-5439;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verkauft
Seeweg;21;69504;Heidelberg;2.055.000,00;353;560;;gewerbe;1978;Produktionshalle mit Bürotrakt, Laderampe und ausreichend Parkplätzen.;2,38% inkl. MwSt.;E;134;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-1453;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verfuegbar
Bachgasse;118;30621;Hannover;310.000,00;132;600;5;haus;1994;Renoviertes Fachwerkhaus mit modernem Anbau und historischem Charme.;3,57% inkl. MwSt.;A;30;Uwe Klein;+49 511 43436200;uwe.klein@immobilien-partner.de;IS-2024-7039;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verfuegbar
Rathaussteig;67a;55163;Mainz;2.630.000,00;397;170;;gewerbe;2001;Gastronomie-Fläche mit voll ausgestatteter Küche und Außenbestuhlung.;Provisionsfrei;B;69;Maria Kaiser;+49 221 85161725;maria.kaiser@immobilien-service.de;IS-2024-5551;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;verfuegbar
Königpfad;12a;69871;Heidelberg;1.495.000,00;657;990;;gewerbe;1990;Moderne Praxisräume im Ärztehaus, barrierefrei und klimatisiert.;4,76% inkl. MwSt.;C;89;Andreas Wolf;+49 381 82772961;andreas.wolf@immobilien-kontor.de;IS-2024-1009;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Neckarstraße;43;86763;Augsburg;460.000,00;45;;3;wohnung;2007;Sonnige Etagenwohnung in familienfreundlicher Wohngegend.;Provisionsfrei;A+;14;Martin Huber;+49 341 56405343;martin.huber@immobilien-service.de;IS-2024-9569;Teilfläche ist vermietet, Mieteinnahmen ca. 800 €/Monat.;verfuegbar
Dorfstraße;76;89549;Ulm;775.000,00;;1860;;grundstueck;;Großes Grundstück am Ortsrand mit freiem Blick ins Grüne.;Provisionsfrei;;;Klaus König;+49 451 41446841;klaus.koenig@immobilien-service.de;IS-2024-8510;Objekt steht seit 3 Monaten leer, sofort beziehbar.;reserviert
Goetheallee;3;52259;Aachen;295.000,00;277;600;5;haus;1963;Charmante Stadtvilla mit Jugendstil-Elementen, kernsaniert.;3,57% inkl. MwSt.;A;35;Hannah Huber;+49 221 57177965;hannah.huber@immobilien-partner.de;IS-2024-7162;Verkäufer möchte vor Verkauf noch die Küche erneuern.;verkauft
